manufacturer_id,name,founded_year,closed_year,country_code,website
0,Arrow,1946,2002,+1,https://en.wikipedia.org/wiki/Arrow_Dynamics
1,B&M,1988,,+41,https://www.bolliger-mabillard.com/
2,King's Island,1972,,+1,https://www.sixflags.com/kingsisland
3,Premier Rides,1995,,+1,https://premier-rides.com/
4,E&F Miler Industries,1947,,+1,http://www.miler-ind.com/
5,Vekoma,1926,,+31,https://www.vekoma.com/
6,Great Coasters International,1994,,+1,https://greatcoasters.com/
7,Philadelphia Toboggan Company,1904,,+1,https://www.philadelphiatoboggancoastersinc.com/
8,Intamin,1967,,+423,https://www.intamin.com/
9,Rocky Mountain Construction,2001,,+1,https://rockymtnconstruction.com/
10,Zamperla,1966,,+39,https://www.zamperla.com/
11,Mack Rides,1780,,+49,https://mack-rides.com/en/
12,Roller Coaster Corporation of America,1979,2005,+1,https://en.wikipedia.org/wiki/Roller_Coaster_Corporation_of_America
13,ART Engineering,2003,,+49,https://artengineering.de/en/